Year,Round,Region,Team1,Seed1,Team2,Seed2,Score,Winner,Team1_Conf,Team1_Wins,Team1_Losses,Team1_WinPct,Team1_NetRtg,Team1_ORtg,Team1_DRtg,Team2_Conf,Team2_Wins,Team2_Losses,Team2_WinPct,Team2_NetRtg,Team2_ORtg,Team2_DRtg
2023,Second Round,South,Missouri,7,Princeton,15,63-78,Princeton,SEC,25,10,0.7142857142857143,13.07,118.3,105.3,Ivy,23,9,0.71875,8.04,109.5,101.5
2023,Second Round,Midwest,Houston,1,Auburn,9,81-64,Houston,Amer,33,4,0.8918918918918919,27.72,118.1,90.4,SEC,21,13,0.6176470588235294,16.77,112.5,95.7
2023,Second Round,Midwest,Miami FL,5,Indiana,4,85-69,Miami,ACC,29,8,0.7837837837837838,17.94,119.1,101.2,B10,23,12,0.6571428571428571,17.03,114.2,97.2
2023,Second Round,Midwest,Pittsburgh,11,Xavier,3,73-84,Xavier,ACC,24,12,0.6666666666666666,12.86,114.2,101.3,BE,27,10,0.7297297297297297,19.95,118.5,98.6
2023,Second Round,Midwest,Penn St.,10,Texas,2,66-71,Texas,B10,23,14,0.6216216216216216,16.04,117.2,101.1,B12,29,9,0.7631578947368421,24.43,116.5,92.1
2023,Sweet 16,East,Florida Atlantic,9,Tennessee,4,62-55,FAU,CUSA,35,4,0.8974358974358975,19.38,115.1,95.7,SEC,25,11,0.6944444444444444,23.8,111.3,87.5
2023,Sweet 16,East,Kansas St.,3,Michigan St.,7,98-93,Kansas St.,B12,26,10,0.7222222222222222,18.51,113.5,95.0,B10,21,13,0.6176470588235294,17.61,114.2,96.6
2023,Sweet 16,West,Arkansas,8,Connecticut,4,65-88,UConn,SEC,22,14,0.6111111111111112,18.05,112.1,94.0,BE,31,8,0.7948717948717948,29.86,120.8,90.9
2023,Sweet 16,West,Gonzaga,3,UCLA,2,79-76,Gonzaga,WCC,31,6,0.8378378378378378,23.02,122.3,99.3,P12,31,6,0.8378378378378378,27.29,115.2,88.0
2023,Sweet 16,South,Alabama,1,San Diego St.,5,74-71,San Diego St.,SEC,31,6,0.8378378378378378,27.28,115.5,88.2,MWC,32,7,0.8205128205128205,20.34,110.8,90.4
2023,Sweet 16,South,Creighton,6,Princeton,15,86-75,Creighton,BE,24,13,0.6486486486486487,21.83,115.0,93.2,Ivy,23,9,0.71875,8.04,109.5,101.5
2023,Sweet 16,Midwest,Houston,1,Miami FL,5,75-89,Miami,Amer,33,4,0.8918918918918919,27.72,118.1,90.4,ACC,29,8,0.7837837837837838,17.94,119.1,101.2
2023,Sweet 16,Midwest,Xavier,3,Texas,2,71-83,Texas,BE,27,10,0.7297297297297297,19.95,118.5,98.6,B12,29,9,0.7631578947368421,24.43,116.5,92.1
2023,Elite Eight,East,Florida Atlantic,9,Kansas St.,3,79-76,FAU,CUSA,35,4,0.8974358974358975,19.38,115.1,95.7,B12,26,10,0.7222222222222222,18.51,113.5,95.0
2023,Elite Eight,West,Connecticut,4,Gonzaga,3,82-54,UConn,BE,31,8,0.7948717948717948,29.86,120.8,90.9,WCC,31,6,0.8378378378378378,23.02,122.3,99.3
2023,Elite Eight,South,San Diego St.,5,Creighton,6,57-56,San Diego St.,MWC,32,7,0.8205128205128205,20.34,110.8,90.4,BE,24,13,0.6486486486486487,21.83,115.0,93.2
2023,Elite Eight,Midwest,Miami FL,5,Texas,2,88-81,Miami,ACC,29,8,0.7837837837837838,17.94,119.1,101.2,B12,29,9,0.7631578947368421,24.43,116.5,92.1
2023,Final Four,National,San Diego St.,5,Florida Atlantic,9,72-71,San Diego St.,MWC,32,7,0.8205128205128205,20.34,110.8,90.4,CUSA,35,4,0.8974358974358975,19.38,115.1,95.7
2023,Final Four,National,Miami FL,5,Connecticut,4,59-72,UConn,ACC,29,8,0.7837837837837838,17.94,119.1,101.2,BE,31,8,0.7948717948717948,29.86,120.8,90.9
2023,Championship,National,San Diego St.,5,Connecticut,4,76-59,UConn,MWC,32,7,0.8205128205128205,20.34,110.8,90.4,BE,31,8,0.7948717948717948,29.86,120.8,90.9
2024,First Round,East,Connecticut,1,Stetson,16,91-52,UConn,BE,37,3,0.925,36.43,127.5,91.1,ASun,22,13,0.6285714285714286,-4.51,109.8,114.3
2024,First Round,East,Northwestern,8,Florida Atlantic,9,77-65,Northwestern,B10,22,12,0.6470588235294118,16.41,115.9,99.5,Amer,25,9,0.7352941176470589,15.74,117.8,102.1
