Year,Round,Region,Team1,Seed1,Team2,Seed2,Score,Winner,Team1_Conf,Team1_Wins,Team1_Losses,Team1_WinPct,Team1_NetRtg,Team1_ORtg,Team1_DRtg,Team2_Conf,Team2_Wins,Team2_Losses,Team2_WinPct,Team2_NetRtg,Team2_ORtg,Team2_DRtg
2010,First Round,Midwest,Kansas,1,Lehigh,16,90-74,Kansas,B12,33,3,0.9166666666666666,31.85,120.4,88.5,Pat,22,11,0.6666666666666666,-0.97,105.6,106.6
2010,First Round,Midwest,UNLV,8,Northern Iowa,9,66-69,Northern Iowa,MWC,25,9,0.7352941176470589,16.56,110.6,94.0,MVC,30,5,0.8571428571428571,18.87,109.6,90.8
2010,First Round,Midwest,Michigan St.,5,New Mexico St.,12,70-67,Michigan St.,B10,28,9,0.7567567567567568,20.13,112.8,92.7,WAC,22,12,0.6470588235294118,6.03,111.6,105.5
2010,First Round,Midwest,Maryland,4,Houston,13,89-77,Maryland,ACC,24,9,0.7272727272727273,22.37,118.3,95.9,CUSA,19,16,0.5428571428571428,8.79,112.0,103.2
2010,First Round,Midwest,Tennessee,6,San Diego St.,11,62-59,Tennesse,SEC,28,9,0.7567567567567568,18.5,108.9,90.4,MWC,25,9,0.7352941176470589,16.58,111.4,94.9
2010,First Round,Midwest,Georgetown,3,Ohio,14,83-97,Ohio,BE,23,11,0.6764705882352942,22.64,116.8,94.2,MAC,22,15,0.5945945945945946,8.25,107.3,99.0
2010,First Round,Midwest,Oklahoma St.,7,Georgia Tech,10,59-64,Georgia Tech,B12,22,11,0.6666666666666666,16.72,112.2,95.4,ACC,23,13,0.6388888888888888,18.22,109.2,91.0
2010,First Round,Midwest,Ohio St.,2,UC Santa Barbara,15,68-51,Ohio St.,B10,29,8,0.7837837837837838,24.99,117.5,92.5,BW,20,10,0.6666666666666666,2.11,100.0,97.9
2010,First Round,West,Syracuse,1,Vermont,16,79-56,Syracuse,BE,30,5,0.8571428571428571,27.62,118.5,90.9,AE,25,10,0.7142857142857143,3.08,104.1,101.0
2010,First Round,West,Gonzaga,8,Florida St.,9,67-60,Gonzaga,WCC,27,7,0.7941176470588235,16.14,112.3,96.1,ACC,22,10,0.6875,18.02,105.0,87.0
2010,First Round,West,Butler,5,UTEP,12,77-59,Butler,Horz,33,5,0.868421052631579,22.45,111.0,88.5,CUSA,26,7,0.7878787878787878,16.53,107.7,91.2
2010,First Round,West,Vanderbilt,4,Murray St.,13,65-66,Murray St,SEC,24,9,0.7272727272727273,17.54,113.7,96.2,OVC,31,5,0.8611111111111112,15.06,109.0,94.0
2010,First Round,West,Xavier,6,Minnesota,11,65-54,Xavier,A10,26,9,0.7428571428571429,20.87,115.5,94.6,B10,21,14,0.6,17.97,112.0,94.1
2010,First Round,West,Pittsburgh,3,Oakland,14,89-66,Pitt,BE,25,9,0.7352941176470589,18.66,111.4,92.8,Sum,26,9,0.7428571428571429,3.19,107.5,104.3
2010,First Round,West,BYU,7,Florida,10,99-92,BYU,MWC,30,6,0.8333333333333334,23.27,117.3,94.0,SEC,21,13,0.6176470588235294,15.23,113.0,97.8
2010,First Round,West,Kansas St.,2,North Texas,15,82-62,Kansas St.,B12,29,8,0.7837837837837838,25.52,116.1,90.6,SB,24,9,0.7272727272727273,-0.47,103.4,103.8
2010,First Round,East,Kentucky,1,East Tennessee St.,16,100-71,Kentucky,SEC,35,3,0.9210526315789473,26.54,114.9,88.3,ASun,20,15,0.5714285714285714,2.47,100.9,98.4
2010,First Round,East,Texas,8,Wake Forest,9,80-81,Wake Forest,B12,24,10,0.7058823529411765,20.75,113.9,93.1,ACC,20,11,0.6451612903225806,14.12,107.1,93.0
2010,First Round,East,Temple,5,Cornell,12,65-78,Cornell,A10,29,6,0.8285714285714286,20.12,107.8,87.7,Ivy,29,5,0.8529411764705882,15.92,117.4,101.5
2010,First Round,East,Wisconsin,4,Wofford,13,53-49,Wisconsin,B10,24,9,0.7272727272727273,23.56,115.2,91.6,SC,26,9,0.7428571428571429,10.12,104.6,94.4
2010,First Round,East,Marquette,6,Washington,11,78-80,Washington,BE,22,12,0.6470588235294118,19.65,115.1,95.5,P10,26,10,0.7222222222222222,18.19,111.7,93.6
2010,First Round,East,New Mexico,3,Montana,14,62-57,New Mexico,MWC,30,5,0.8571428571428571,16.18,113.6,97.4,BSky,22,10,0.6875,8.08,106.5,98.4
2010,First Round,East,Clemson,7,Missouri,10,78-86,Missouri,ACC,21,11,0.65625,19.28,110.9,91.6,B12,23,11,0.6764705882352942,19.99,111.5,91.5
2010,First Round,East,West Virginia,2,Morgan St.,15,77-50,West Virginia,BE,31,7,0.8157894736842105,25.54,117.2,91.7,MEAC,27,10,0.7297297297297297,1.58,105.5,104.0
2010,First Round,South,Duke,1,Arkansas Pine Bluff,16,73-44,Duke,ACC,35,5,0.875,33.29,121.0,87.7,SWAC,18,16,0.5294117647058824,-6.44,93.1,99.5
2010,First Round,South,California,8,Louisville,9,77-62,California,P10,24,11,0.6857142857142857,22.15,119.6,97.4,BE,20,13,0.6060606060606061,16.91,114.5,97.6
2010,First Round,South,Texas A&M,5,Utah St.,12,69-53,Texas A&M,B12,24,10,0.7058823529411765,21.33,112.6,91.2,WAC,27,8,0.7714285714285715,19.9,116.0,96.1
2010,First Round,South,Purdue,4,Siena,13,72-64,Purdue,B10,29,6,0.8285714285714286,22.05,109.8,87.7,MAAC,27,7,0.7941176470588235,13.86,109.4,95.5
2010,First Round,South,Notre Dame,6,Old Dominion,11,50-51,Old Dominion,BE,23,12,0.6571428571428571,17.71,119.4,101.7,CAA,27,9,0.75,17.51,107.8,90.3
2010,First Round,South,Baylor,3,Sam Houston St.,14,68-59,Baylor,B12,28,8,0.7777777777777778,24.95,119.2,94.3,Slnd,25,8,0.7575757575757576,7.42,110.2,102.7
2010,First Round,South,Richmond,7,Saint Mary's,10,71-80,Saint Mary's,A10,26,9,0.7428571428571429,15.01,108.8,93.8,WCC,28,6,0.8235294117647058,18.59,116.5,97.9
2010,First Round,South,Villanova,2,Robert Morris,15,73-70,Villanova,BE,25,8,0.7575757575757576,21.24,117.2,96.0,NEC,23,12,0.6571428571428571,-0.97,99.9,100.8
2010,Second Round,Midwest,Kansas,1,Northern Iowa,9,67-69,Northern Iowa,B12,33,3,0.9166666666666666,31.85,120.4,88.5,MVC,30,5,0.8571428571428571,18.87,109.6,90.8
2010,Second Round,Midwest,Michigan St.,5,Maryland,4,85-83,Michigan St.,B10,28,9,0.7567567567567568,20.13,112.8,92.7,ACC,24,9,0.7272727272727273,22.37,118.3,95.9
2010,Second Round,Midwest,Tennessee,6,Ohio,14,83-68,Tennesse,SEC,28,9,0.7567567567567568,18.5,108.9,90.4,MAC,22,15,0.5945945945945946,8.25,107.3,99.0
2010,Second Round,Midwest,Georgia Tech,10,Ohio St.,2,66-75,Ohio St.,ACC,23,13,0.6388888888888888,18.22,109.2,91.0,B10,29,8,0.7837837837837838,24.99,117.5,92.5
2010,Second Round,West,Syracuse,1,Gonzaga,8,87-65,Syracuse,BE,30,5,0.8571428571428571,27.62,118.5,90.9,WCC,27,7,0.7941176470588235,16.14,112.3,96.1
2010,Second Round,West,Butler,5,Murray St.,13,54-52,Butler,Horz,33,5,0.868421052631579,22.45,111.0,88.5,OVC,31,5,0.8611111111111112,15.06,109.0,94.0
2010,Second Round,West,Xavier,6,Pittsburgh,3,71-68,Xavier,A10,26,9,0.7428571428571429,20.87,115.5,94.6,BE,25,9,0.7352941176470589,18.66,111.4,92.8
2010,Second Round,West,BYU,7,Kansas St.,2,72-84,Kansas St.,MWC,30,6,0.8333333333333334,23.27,117.3,94.0,B12,29,8,0.7837837837837838,25.52,116.1,90.6
2010,Second Round,East,Kentucky,1,Wake Forest,9,90-60,Kentucky,SEC,35,3,0.9210526315789473,26.54,114.9,88.3,ACC,20,11,0.6451612903225806,14.12,107.1,93.0
2010,Second Round,East,Cornell,12,Wisconsin,4,87-69,Cornell,Ivy,29,5,0.8529411764705882,15.92,117.4,101.5,B10,24,9,0.7272727272727273,23.56,115.2,91.6
2010,Second Round,East,Washington,11,New Mexico,3,82-64,Washington,P10,26,10,0.7222222222222222,18.19,111.7,93.6,MWC,30,5,0.8571428571428571,16.18,113.6,97.4
2010,Second Round,East,Missouri,10,West Virginia,2,59-68,West Virginia,B12,23,11,0.6764705882352942,19.99,111.5,91.5,BE,31,7,0.8157894736842105,25.54,117.2,91.7
2010,Second Round,South,Duke,1,California,8,68-53,Duke,ACC,35,5,0.875,33.29,121.0,87.7,P10,24,11,0.6857142857142857,22.15,119.6,97.4
2010,Second Round,South,Texas A&M,5,Purdue,4,61-63,Purdue,B12,24,10,0.7058823529411765,21.33,112.6,91.2,B10,29,6,0.8285714285714286,22.05,109.8,87.7
2010,Second Round,South,Old Dominion,11,Baylor,3,68-76,Baylor,CAA,27,9,0.75,17.51,107.8,90.3,B12,28,8,0.7777777777777778,24.95,119.2,94.3
2010,Second Round,South,Saint Mary's,10,Villanova,2,75-68,Saint Mary's,WCC,28,6,0.8235294117647058,18.59,116.5,97.9,BE,25,8,0.7575757575757576,21.24,117.2,96.0
2010,Sweet 16,Midwest,Northern Iowa,9,Michigan St.,5,52-59,Michigan St.,MVC,30,5,0.8571428571428571,18.87,109.6,90.8,B10,28,9,0.7567567567567568,20.13,112.8,92.7
2010,Sweet 16,Midwest,Tennessee,6,Ohio St.,2,76-73,Tennesse,SEC,28,9,0.7567567567567568,18.5,108.9,90.4,B10,29,8,0.7837837837837838,24.99,117.5,92.5
2010,Sweet 16,West,Syracuse,1,Butler,5,59-63,Butler,BE,30,5,0.8571428571428571,27.62,118.5,90.9,Horz,33,5,0.868421052631579,22.45,111.0,88.5
2010,Sweet 16,West,Xavier,6,Kansas St.,2,96-101,Kansas St.,A10,26,9,0.7428571428571429,20.87,115.5,94.6,B12,29,8,0.7837837837837838,25.52,116.1,90.6
2010,Sweet 16,East,Kentucky,1,Cornell,12,62-45,Kentucky,SEC,35,3,0.9210526315789473,26.54,114.9,88.3,Ivy,29,5,0.8529411764705882,15.92,117.4,101.5
2010,Sweet 16,East,Washington,11,West Virginia,2,56-69,West Virginia,P10,26,10,0.7222222222222222,18.19,111.7,93.6,BE,31,7,0.8157894736842105,25.54,117.2,91.7
2010,Sweet 16,South,Duke,1,Purdue,4,70-57,Duke,ACC,35,5,0.875,33.29,121.0,87.7,B10,29,6,0.8285714285714286,22.05,109.8,87.7
2010,Sweet 16,South,Baylor,3,Saint Mary's,10,72-49,Baylor,B12,28,8,0.7777777777777778,24.95,119.2,94.3,WCC,28,6,0.8235294117647058,18.59,116.5,97.9
2010,Elite Eight,Midwest,Michigan St.,5,Tennessee,6,70-69,Michigan St.,B10,28,9,0.7567567567567568,20.13,112.8,92.7,SEC,28,9,0.7567567567567568,18.5,108.9,90.4
2010,Elite Eight,West,Butler,5,Kansas St.,2,63-56,Butler,Horz,33,5,0.868421052631579,22.45,111.0,88.5,B12,29,8,0.7837837837837838,25.52,116.1,90.6
2010,Elite Eight,East,Kentucky,1,West Virginia,2,66-73,West Virginia,SEC,35,3,0.9210526315789473,26.54,114.9,88.3,BE,31,7,0.8157894736842105,25.54,117.2,91.7
2010,Elite Eight,South,Duke,1,Baylor,3,78-71,Duke,ACC,35,5,0.875,33.29,121.0,87.7,B12,28,8,0.7777777777777778,24.95,119.2,94.3
2010,Final Four,National,Michigan St.,5,Butler,5,50-52,Butler,B10,28,9,0.7567567567567568,20.13,112.8,92.7,Horz,33,5,0.868421052631579,22.45,111.0,88.5
2010,Final Four,National,West Virginia,2,Duke,1,57-78,Duke,BE,31,7,0.8157894736842105,25.54,117.2,91.7,ACC,35,5,0.875,33.29,121.0,87.7
2010,Championship,National,Butler,5,Duke,1,59-61,Duke,Horz,33,5,0.868421052631579,22.45,111.0,88.5,ACC,35,5,0.875,33.29,121.0,87.7
2011,First Round,East,Ohio St.,1,UTSA,16,75-46,Ohio St.,B10,34,3,0.918918918918919,33.47,125.0,91.5,Slnd,20,14,0.5882352941176471,-5.32,101.8,107.1
2011,First Round,East,George Mason,8,Villanova,9,61-57,George Mason,CAA,27,7,0.7941176470588235,18.3,114.1,95.8,BE,21,12,0.6363636363636364,17.83,114.9,97.0
2011,First Round,East,West Virginia,5,Clemson,12,84-76,West Virginia,BE,21,12,0.6363636363636364,20.11,114.9,94.8,ACC,22,12,0.6470588235294118,18.16,109.6,91.5
2011,First Round,East,Kentucky,4,Princeton,13,59-57,Kentucky,SEC,29,9,0.7631578947368421,25.82,117.8,92.0,Ivy,25,7,0.78125,9.09,107.2,98.1
2011,First Round,East,Xavier,6,Marquette,11,55-66,Marquette,A10,24,8,0.75,16.02,112.8,96.8,BE,22,15,0.5945945945945946,18.14,115.5,97.3
2011,First Round,East,Syracuse,3,Indiana St.,14,77-60,Syracuse,BE,27,8,0.7714285714285715,22.49,114.9,92.4,MVC,20,14,0.5882352941176471,5.45,102.8,97.4
2011,First Round,East,Washington,7,Georgia,10,68-65,Washington,P10,24,11,0.6857142857142857,21.69,117.7,96.0,SEC,21,12,0.6363636363636364,12.24,108.2,95.9
2011,First Round,East,North Carolina,2,LIU Brooklyn,15,102-87,North Carolina,ACC,29,8,0.7837837837837838,22.18,111.8,89.6,NEC,27,6,0.8181818181818182,5.43,109.6,104.2
2011,First Round,West,Duke,1,Hampton,16,87-45,Duke,ACC,32,5,0.8648648648648649,28.42,119.7,91.3,MEAC,24,9,0.7272727272727273,-4.21,94.4,98.7
2011,First Round,West,Michigan,8,Tennessee,9,75-45,Michigan,B10,21,14,0.6,17.69,112.8,95.1,SEC,19,15,0.5588235294117647,12.41,108.0,95.6
2011,First Round,West,Arizona,5,Memphis,12,77-75,Arizona,P10,30,8,0.7894736842105263,19.65,117.4,97.8,CUSA,25,10,0.7142857142857143,6.98,104.5,97.6
2011,First Round,West,Texas,4,Oakland,13,85-81,Texas,B12,28,8,0.7777777777777778,25.93,115.5,89.6,Sum,25,10,0.7142857142857143,13.31,118.6,105.3
2011,First Round,West,Cincinnati,6,Missouri,11,78-63,Cincinatti,BE,26,9,0.7428571428571429,19.41,111.1,91.7,B12,23,11,0.6764705882352942,15.54,113.4,97.8
2011,First Round,West,Connecticut,3,Bucknell,14,81-52,Uconn,BE,32,9,0.7804878048780488,23.93,115.8,91.9,Pat,25,9,0.7352941176470589,6.57,105.8,99.2
2011,First Round,West,Temple,7,Penn St.,10,66-64,Temple,A10,26,8,0.7647058823529411,16.84,110.5,93.7,B10,19,15,0.5588235294117647,14.88,113.1,98.3
2011,First Round,West,San Diego St.,2,Northern Colorado,15,68-50,San Diego St.,MWC,34,3,0.918918918918919,24.98,114.1,89.1,BSky,21,11,0.65625,4.05,106.3,102.2
2011,First Round,Southwest,Kansas,1,Boston University,16,72-53,Kansas,B12,35,3,0.9210526315789473,28.38,118.9,90.6,AE,21,14,0.6,-0.5,103.4,103.9
2011,First Round,Southwest,UNLV,8,Illinois,9,62-73,Illinois,MWC,24,9,0.7272727272727273,17.75,110.6,92.9,B10,20,14,0.5882352941176471,20.14,113.3,93.1
2011,First Round,Southwest,Vanderbilt,5,Richmond,12,66-69,Richmond,SEC,23,11,0.6764705882352942,17.33,116.6,99.2,A10,29,8,0.7837837837837838,16.01,112.6,96.5
2011,First Round,Southwest,Louisville,4,Morehead St.,13,61-62,Morehead St.,BE,25,10,0.7142857142857143,22.26,111.4,89.2,OVC,25,10,0.7142857142857143,7.01,105.6,98.6
2011,First Round,Southwest,Georgetown,6,VCU,11,56-74,VCU,BE,21,11,0.65625,17.65,114.2,96.6,CAA,28,12,0.7,13.49,112.0,98.5
2011,First Round,Southwest,Purdue,3,Saint Peter's,14,65-43,Purdue,B10,26,8,0.7647058823529411,24.79,115.9,91.1,MAAC,20,14,0.5882352941176471,2.73,95.2,92.5
2011,First Round,Southwest,Texas A&M,7,Florida St.,10,50-57,Florida St.,B12,24,9,0.7272727272727273,14.62,110.0,95.4,ACC,23,11,0.6764705882352942,16.76,104.5,87.7
2011,First Round,Southwest,Notre Dame,2,Akron,15,69-56,Notre Dame,BE,27,7,0.7941176470588235,23.25,120.9,97.7,MAC,23,13,0.6388888888888888,4.09,103.7,99.6
2011,First Round,Southeast,Pittsburgh,1,UNC Asheville,16,74-51,Pitt,BE,28,6,0.8235294117647058,27.08,120.6,93.5,BSth,20,14,0.5882352941176471,1.91,101.9,100.0
2011,First Round,Southeast,Butler,8,Old Dominion,9,60-58,Butler,Horz,28,10,0.7368421052631579,16.46,112.3,95.9,CAA,27,7,0.7941176470588235,14.66,110.0,95.4
2011,First Round,Southeast,Kansas St.,5,Utah St.,12,73-68,Kansas St.,B12,23,11,0.6764705882352942,17.42,111.1,93.6,WAC,30,4,0.8823529411764706,19.32,111.2,91.8
2011,First Round,Southeast,Wisconsin,4,Belmont,13,72-58,Wisconsin,B10,25,9,0.7352941176470589,25.84,122.3,96.5,ASun,30,5,0.8571428571428571,18.48,112.6,94.1
2011,First Round,Southeast,St. John's,6,Gonzaga,11,71-86,Gonzaga,BE,21,12,0.6363636363636364,15.87,111.2,95.3,WCC,25,10,0.7142857142857143,16.45,112.1,95.6
2011,First Round,Southeast,BYU,3,Wofford,14,74-66,BYU,MWC,32,5,0.8648648648648649,23.22,117.5,94.3,SC,21,13,0.6176470588235294,8.17,112.3,104.2
2011,First Round,Southeast,UCLA,7,Michigan St.,10,78-76,UCLA,P10,23,11,0.6764705882352942,13.57,108.7,95.1,B10,19,15,0.5588235294117647,15.08,109.5,94.4
2011,First Round,Southeast,Florida,2,UC Santa Barbara,15,79-51,Florida,SEC,29,8,0.7837837837837838,20.61,115.8,95.2,BW,18,14,0.5625,3.15,103.7,100.5
2011,Second Round,East,Ohio St.,1,George Mason,8,98-66,Ohio St.,B10,34,3,0.918918918918919,33.47,125.0,91.5,CAA,27,7,0.7941176470588235,18.3,114.1,95.8
2011,Second Round,East,West Virginia,5,Kentucky,4,63-71,Kentucky,BE,21,12,0.6363636363636364,20.11,114.9,94.8,SEC,29,9,0.7631578947368421,25.82,117.8,92.0
2011,Second Round,East,Marquette,11,Syracuse,3,66-62,Marquette,BE,22,15,0.5945945945945946,18.14,115.5,97.3,BE,27,8,0.7714285714285715,22.49,114.9,92.4
2011,Second Round,East,Washington,7,North Carolina,2,83-86,North Carolina,P10,24,11,0.6857142857142857,21.69,117.7,96.0,ACC,29,8,0.7837837837837838,22.18,111.8,89.6
2011,Second Round,West,Duke,1,Michigan,8,73-71,Duke,ACC,32,5,0.8648648648648649,28.42,119.7,91.3,B10,21,14,0.6,17.69,112.8,95.1
2011,Second Round,West,Arizona,5,Texas,4,70-69,Arizona,P10,30,8,0.7894736842105263,19.65,117.4,97.8,B12,28,8,0.7777777777777778,25.93,115.5,89.6
2011,Second Round,West,Cincinnati,6,Connecticut,3,58-69,UConn,BE,26,9,0.7428571428571429,19.41,111.1,91.7,BE,32,9,0.7804878048780488,23.93,115.8,91.9
2011,Second Round,West,Temple,7,San Diego St.,2,64-71,San Diego St.,A10,26,8,0.7647058823529411,16.84,110.5,93.7,MWC,34,3,0.918918918918919,24.98,114.1,89.1
2011,Second Round,Southwest,Kansas,1,Illinois,9,73-59,Kansas,B12,35,3,0.9210526315789473,28.38,118.9,90.6,B10,20,14,0.5882352941176471,20.14,113.3,93.1
2011,Second Round,Southwest,Richmond,12,Morehead St.,13,65-48,Richmond,A10,29,8,0.7837837837837838,16.01,112.6,96.5,OVC,25,10,0.7142857142857143,7.01,105.6,98.6
2011,Second Round,Southwest,VCU,11,Purdue,3,94-76,VCU,CAA,28,12,0.7,13.49,112.0,98.5,B10,26,8,0.7647058823529411,24.79,115.9,91.1
2011,Second Round,Southwest,Florida St.,10,Notre Dame,2,71-57,Florida St.,ACC,23,11,0.6764705882352942,16.76,104.5,87.7,BE,27,7,0.7941176470588235,23.25,120.9,97.7
2011,Second Round,Southeast,Pittsburgh,1,Butler,8,70-71,Butler,BE,28,6,0.8235294117647058,27.08,120.6,93.5,Horz,28,10,0.7368421052631579,16.46,112.3,95.9
2011,Second Round,Southeast,Kansas St.,5,Wisconsin,4,65-70,Wisconsin,B12,23,11,0.6764705882352942,17.42,111.1,93.6,B10,25,9,0.7352941176470589,25.84,122.3,96.5
2011,Second Round,Southeast,Gonzaga,11,BYU,3,67-89,BYU,WCC,25,10,0.7142857142857143,16.45,112.1,95.6,MWC,32,5,0.8648648648648649,23.22,117.5,94.3
2011,Second Round,Southeast,UCLA,7,Florida,2,65-73,Florida,P10,23,11,0.6764705882352942,13.57,108.7,95.1,SEC,29,8,0.7837837837837838,20.61,115.8,95.2
2011,Sweet 16,East,Ohio St.,1,Kentucky,4,60-62,Kentucky,B10,34,3,0.918918918918919,33.47,125.0,91.5,SEC,29,9,0.7631578947368421,25.82,117.8,92.0
2011,Sweet 16,East,Marquette,11,North Carolina,2,63-81,North Carolina,BE,22,15,0.5945945945945946,18.14,115.5,97.3,ACC,29,8,0.7837837837837838,22.18,111.8,89.6
2011,Sweet 16,West,Duke,1,Arizona,5,77-93,Arizona,ACC,32,5,0.8648648648648649,28.42,119.7,91.3,P10,30,8,0.7894736842105263,19.65,117.4,97.8
2011,Sweet 16,West,Connecticut,3,San Diego St.,2,74-67,UConn,BE,32,9,0.7804878048780488,23.93,115.8,91.9,MWC,34,3,0.918918918918919,24.98,114.1,89.1
2011,Sweet 16,Southwest,Kansas,1,Richmond,12,77-57,Kansas,B12,35,3,0.9210526315789473,28.38,118.9,90.6,A10,29,8,0.7837837837837838,16.01,112.6,96.5
2011,Sweet 16,Southwest,VCU,11,Florida St.,10,72-71,VCU,CAA,28,12,0.7,13.49,112.0,98.5,ACC,23,11,0.6764705882352942,16.76,104.5,87.7
2011,Sweet 16,Southeast,Butler,8,Wisconsin,4,61-54,Butler,Horz,28,10,0.7368421052631579,16.46,112.3,95.9,B10,25,9,0.7352941176470589,25.84,122.3,96.5
2011,Sweet 16,Southeast,BYU,3,Florida,2,74-83,Florida,MWC,32,5,0.8648648648648649,23.22,117.5,94.3,SEC,29,8,0.7837837837837838,20.61,115.8,95.2
2011,Elite Eight,East,Kentucky,4,North Carolina,2,76-69,Kentucky,SEC,29,9,0.7631578947368421,25.82,117.8,92.0,ACC,29,8,0.7837837837837838,22.18,111.8,89.6
2011,Elite Eight,West,Arizona,5,Connecticut,3,63-65,UConn,P10,30,8,0.7894736842105263,19.65,117.4,97.8,BE,32,9,0.7804878048780488,23.93,115.8,91.9
2011,Elite Eight,Southwest,Kansas,1,VCU,11,61-71,VCU,B12,35,3,0.9210526315789473,28.38,118.9,90.6,CAA,28,12,0.7,13.49,112.0,98.5
2011,Elite Eight,Southeast,Butler,8,Florida,2,74-71,Butler,Horz,28,10,0.7368421052631579,16.46,112.3,95.9,SEC,29,8,0.7837837837837838,20.61,115.8,95.2
2011,Final Four,National,Kentucky,4,Connecticut,3,55-56,UConn,SEC,29,9,0.7631578947368421,25.82,117.8,92.0,BE,32,9,0.7804878048780488,23.93,115.8,91.9
2011,Final Four,National,VCU,11,Butler,8,62-70,Butler,CAA,28,12,0.7,13.49,112.0,98.5,Horz,28,10,0.7368421052631579,16.46,112.3,95.9
2011,Championship,National,Connecticut,3,Butler,8,53-41,UConn,BE,32,9,0.7804878048780488,23.93,115.8,91.9,Horz,28,10,0.7368421052631579,16.46,112.3,95.9
2012,First Round,East,Syracuse,1,UNC Asheville,16,72-65,Syracuse,BE,34,3,0.918918918918919,26.04,117.7,91.7,BSth,24,10,0.7058823529411765,5.5,110.4,104.9
2012,First Round,East,Kansas St.,8,Southern Miss,9,70-64,Kansas St.,B12,22,11,0.6666666666666666,17.52,109.8,92.3,CUSA,25,9,0.7352941176470589,10.83,111.2,100.4
2012,First Round,East,Vanderbilt,5,Harvard,12,79-70,Vanderbilt,SEC,25,11,0.6944444444444444,20.9,115.6,94.7,Ivy,26,5,0.8387096774193549,14.34,108.8,94.4
2012,First Round,East,Wisconsin,4,Montana,13,73-49,Wisconsin,B10,26,10,0.7222222222222222,24.09,113.7,89.6,BSky,25,7,0.78125,6.76,103.7,96.9
2012,First Round,East,Cincinnati,6,Texas,11,65-59,Cincinatti,BE,26,11,0.7027027027027027,16.03,109.5,93.5,B12,20,14,0.5882352941176471,15.9,112.9,97.0
2012,First Round,East,Florida St.,3,St. Bonaventure,14,66-63,Florida St.,ACC,25,10,0.7142857142857143,17.14,107.6,90.4,A10,20,12,0.625,11.78,110.6,98.9
2012,First Round,East,Gonzaga,7,West Virginia,10,77-54,Gonzaga,WCC,26,7,0.7878787878787878,18.39,113.1,94.7,BE,19,14,0.5757575757575758,13.56,111.4,97.9
2012,First Round,East,Ohio St.,2,Loyola MD,15,78-59,Ohio St.,B10,31,8,0.7948717948717948,30.07,118.1,88.1,MAAC,24,9,0.7272727272727273,3.91,103.9,100.0
2012,First Round,West,Michigan St.,1,LIU Brooklyn,16,89-67,Michigan St.,B10,29,8,0.7837837837837838,27.87,114.7,86.9,NEC,25,9,0.7352941176470589,0.75,108.7,107.9
2012,First Round,West,Memphis,8,Saint Louis,9,54-61,Saint Louis,CUSA,26,9,0.7428571428571429,21.9,114.2,92.3,A10,26,8,0.7647058823529411,21.2,111.9,90.7
2012,First Round,West,New Mexico,5,Long Beach St.,12,75-68,New Mexico,MWC,28,7,0.8,19.45,110.8,91.4,BW,25,9,0.7352941176470589,15.27,111.7,96.4
2012,First Round,West,Louisville,4,Davidson,13,69-62,Louisville,BE,30,10,0.75,20.67,106.2,85.5,SC,25,8,0.7575757575757576,10.65,112.0,101.4
2012,First Round,West,Murray St.,6,Colorado St.,11,58-41,Murray St.,OVC,31,2,0.9393939393939394,15.34,108.5,93.2,MWC,20,12,0.625,8.17,111.9,103.7
2012,First Round,West,Marquette,3,BYU,14,88-68,Marquette,BE,27,8,0.7714285714285715,20.22,111.5,91.3,WCC,26,9,0.7428571428571429,12.79,106.3,93.5
2012,First Round,West,Florida,7,Virginia,10,71-45,Florida,SEC,26,11,0.7027027027027027,22.47,120.4,98.0,ACC,22,10,0.6875,15.85,105.2,89.3
2012,First Round,West,Missouri,2,Norfolk St.,15,84-86,Norfolk St.,B12,30,5,0.8571428571428571,25.28,125.1,99.8,MEAC,26,10,0.7222222222222222,-1.82,100.9,102.7
2012,First Round,South,Kentucky,1,Western Kentucky,16,81-66,Kentucky,SEC,38,2,0.95,32.59,122.2,89.6,SB,16,19,0.45714285714285713,-2.67,97.8,100.5
2012,First Round,South,Iowa St.,8,Connecticut,9,77-64,Iowa St.,B12,23,11,0.6764705882352942,16.69,113.9,97.2,BE,20,14,0.5882352941176471,14.53,111.3,96.8
2012,First Round,South,Wichita St.,5,VCU,12,59-62,VCU,MVC,27,6,0.8181818181818182,22.36,116.1,93.8,CAA,29,7,0.8055555555555556,13.45,106.9,93.5
2012,First Round,South,Indiana,4,New Mexico St.,13,79-66,Indiana,B10,27,9,0.75,22.55,120.2,97.6,WAC,26,10,0.7222222222222222,11.22,109.3,98.1
2012,First Round,South,UNLV,6,Colorado,11,64-68,Colorado,MWC,26,9,0.7428571428571429,14.97,109.2,94.2,P12,24,12,0.6666666666666666,8.89,104.8,95.9
2012,First Round,South,Baylor,3,South Dakota St.,14,68-60,Baylor,B12,30,8,0.7894736842105263,21.29,116.0,94.7,Sum,27,8,0.7714285714285715,11.62,113.7,102.1
2012,First Round,South,Notre Dame,7,Xavier,10,63-67,Xavier,BE,22,12,0.6470588235294118,14.22,110.9,96.7,A10,23,13,0.6388888888888888,12.59,108.7,96.1
2012,First Round,South,Duke,2,Lehigh,15,70-75,Lehigh,ACC,27,7,0.7941176470588235,19.7,117.7,98.0,Pat,27,8,0.7714285714285715,9.29,108.6,99.3
